dataset,model,step,tau,bor,metric,estimate,ci_low,ci_high,n_dialogues,bootstrap_n,bootstrap_seed
superseg,csm,0,0.0,1.1922682175846733,wf1,0.614604148632359,0.6011111508395592,0.629069029551031,1322,1000,42
superseg,csm,0,0.0,1.1922682175846733,wf1_1to1,0.6413189055019615,0.6269566518327864,0.656799467552115,1322,1000,42
superseg,csm,0,0.0,1.1922682175846733,exact_f1,0.37025588716208985,0.35587549910167154,0.3849114142287365,1322,1000,42
superseg,csm,0,0.0,1.1922682175846733,coverage,0.7657603318685013,0.756006251801023,0.7753563781728022,1322,1000,42
superseg,csm,1,5.960464477539063e-08,1.0249743414300376,wf1,0.5927879142304701,0.5782377440386139,0.6083220450766837,1322,1000,42
superseg,csm,1,5.960464477539063e-08,1.0249743414300376,wf1_1to1,0.614893041065507,0.5996291489020309,0.6309416102891898,1322,1000,42
superseg,csm,1,5.960464477539063e-08,1.0249743414300376,exact_f1,0.3402651979051374,0.32444497247163656,0.3557816248720182,1322,1000,42
superseg,csm,1,5.960464477539063e-08,1.0249743414300376,coverage,0.7961500432245515,0.7866273630922364,0.8050361607893284,1322,1000,42
superseg,csm,2,1.1920928955078125e-07,1.0177899418405747,wf1,0.591423939492819,0.5767081668430449,0.607308583762208,1322,1000,42
superseg,csm,2,1.1920928955078125e-07,1.0177899418405747,wf1_1to1,0.613690940090335,0.5982002254553315,0.6297217856105906,1322,1000,42
superseg,csm,2,1.1920928955078125e-07,1.0177899418405747,exact_f1,0.33810560762149267,0.32244312724172786,0.3537592002257282,1322,1000,42
superseg,csm,2,1.1920928955078125e-07,1.0177899418405747,coverage,0.797751152654708,0.7882919045517854,0.8065009042636216,1322,1000,42
superseg,csm,3,1.7881393432617188e-07,1.013684570646596,wf1,0.5905558464159514,0.5761753716752828,0.6065100132222696,1322,1000,42
superseg,csm,3,1.7881393432617188e-07,1.013684570646596,wf1_1to1,0.6128048367836567,0.5972905751375872,0.6284278570227889,1322,1000,42
superseg,csm,3,1.7881393432617188e-07,1.013684570646596,exact_f1,0.3375598976582335,0.32202582475937236,0.3528574621293986,1322,1000,42
superseg,csm,3,1.7881393432617188e-07,1.013684570646596,coverage,0.7982554390894028,0.7889222625951541,0.8068370216783133,1322,1000,42
superseg,csm,4,2.384185791015625e-07,1.007184399589463,wf1,0.5892302935018963,0.5745144694860477,0.6051256378061242,1322,1000,42
superseg,csm,4,2.384185791015625e-07,1.007184399589463,wf1_1to1,0.6108447234392771,0.5954223221517094,0.6269767850866564,1322,1000,42
superseg,csm,4,2.384185791015625e-07,1.007184399589463,exact_f1,0.33579969786475083,0.32032163678060044,0.3511929621479546,1322,1000,42
superseg,csm,4,2.384185791015625e-07,1.007184399589463,coverage,0.7991211308022959,0.7896618781968159,0.8078370194270345,1322,1000,42
superseg,csm,5,2.980232238769531e-07,1.0020526855969893,wf1,0.5883946188386876,0.5736205576532176,0.604402484060144,1322,1000,42
superseg,csm,5,2.980232238769531e-07,1.0020526855969893,wf1_1to1,0.6098109362481525,0.5944972144177892,0.6258063780227169,1322,1000,42
superseg,csm,5,2.980232238769531e-07,1.0020526855969893,exact_f1,0.3350684825344432,0.3195674706869866,0.350710462633685,1322,1000,42
superseg,csm,5,2.980232238769531e-07,1.0020526855969893,coverage,0.7999468998391087,0.7908790650589533,0.8087822465660497,1322,1000,42
superseg,csm,6,3.5762786865234375e-07,0.9948682860075265,wf1,0.586481932432809,0.5714975958750989,0.6022406636862787,1322,1000,42
superseg,csm,6,3.5762786865234375e-07,0.9948682860075265,wf1_1to1,0.6079414743938193,0.5930344126372871,0.6242946170697684,1322,1000,42
superseg,csm,6,3.5762786865234375e-07,0.9948682860075265,exact_f1,0.3333827250241774,0.3177749875565685,0.34915224347429336,1322,1000,42
superseg,csm,6,3.5762786865234375e-07,0.9948682860075265,coverage,0.80104372283457,0.7918534620164253,0.8096642330343636,1322,1000,42
superseg,csm,7,4.172325134277344e-07,0.990078686281218,wf1,0.5858947989409856,0.5706244353744799,0.601923871208044,1322,1000,42
superseg,csm,7,4.172325134277344e-07,0.990078686281218,wf1_1to1,0.6071021976846486,0.5920006554632122,0.6233191038873716,1322,1000,42
superseg,csm,7,4.172325134277344e-07,0.990078686281218,exact_f1,0.3327739792565814,0.31685265094209875,0.3487752184149688,1322,1000,42
superseg,csm,7,4.172325134277344e-07,0.990078686281218,coverage,0.8017633816007492,0.7925733354045097,0.8104342461518141,1322,1000,42
superseg,csm,8,4.76837158203125e-07,0.9839206294902497,wf1,0.5828876909036205,0.5676448829887248,0.5989858717291529,1322,1000,42
superseg,csm,8,4.76837158203125e-07,0.9839206294902497,wf1_1to1,0.6039191897361338,0.5885425289746394,0.6203965088533923,1322,1000,42
superseg,csm,8,4.76837158203125e-07,0.9839206294902497,exact_f1,0.3293586393435108,0.3134986918023983,0.345263055779319,1322,1000,42
superseg,csm,8,4.76837158203125e-07,0.9839206294902497,coverage,0.8022172393919746,0.7929285774319813,0.810953019565113,1322,1000,42
superseg,csm,9,5.364418029785156e-07,0.9791310297639412,wf1,0.5802930171289165,0.5653682043807299,0.596270517616573,1322,1000,42
superseg,csm,9,5.364418029785156e-07,0.9791310297639412,wf1_1to1,0.6012014460577244,0.5865949150026306,0.617865815055679,1322,1000,42
superseg,csm,9,5.364418029785156e-07,0.9791310297639412,exact_f1,0.3272442383637542,0.31096804848790477,0.34286894774413684,1322,1000,42
superseg,csm,9,5.364418029785156e-07,0.9791310297639412,coverage,0.8026490346516822,0.7933298250906516,0.8114613725596138,1322,1000,42
superseg,csm,10,5.960464477539062e-07,0.9736572015053028,wf1,0.5778202125759303,0.563282341428755,0.594161612244953,1322,1000,42
superseg,csm,10,5.960464477539062e-07,0.9736572015053028,wf1_1to1,0.5985341310227845,0.5836188527811069,0.6149308529972296,1322,1000,42
superseg,csm,10,5.960464477539062e-07,0.9736572015053028,exact_f1,0.32488309723559344,0.309166718514298,0.3403432299546142,1322,1000,42
superseg,csm,10,5.960464477539062e-07,0.9736572015053028,coverage,0.803134410345076,0.7940458442895565,0.8120739905266191,1322,1000,42
superseg,csm,11,6.556510925292969e-07,0.9681833732466644,wf1,0.5754284540570916,0.560170541225705,0.5911027978330194,1322,1000,42
superseg,csm,11,6.556510925292969e-07,0.9681833732466644,wf1_1to1,0.5953373152314151,0.5804374125412325,0.6120508262329367,1322,1000,42
superseg,csm,11,6.556510925292969e-07,0.9681833732466644,exact_f1,0.3228695535427759,0.3068514311583525,0.3387895542850156,1322,1000,42
superseg,csm,11,6.556510925292969e-07,0.9681833732466644,coverage,0.8039118519318972,0.7947914903164998,0.8129191618339215,1322,1000,42
superseg,csm,12,7.479035075585625e-07,0.9541566883339035,wf1,0.5698801025934602,0.5547084951204155,0.5862932311328236,1322,1000,42
superseg,csm,12,7.479035075585625e-07,0.9541566883339035,wf1_1to1,0.5883277337891559,0.57324430276397,0.6047517480838207,1322,1000,42
superseg,csm,12,7.479035075585625e-07,0.9541566883339035,exact_f1,0.31698020839473184,0.30139996654463375,0.3327914055183344,1322,1000,42
superseg,csm,12,7.479035075585625e-07,0.9541566883339035,coverage,0.8054887976370578,0.7961167813317965,0.8145484235045507,1322,1000,42
superseg,csm,13,8.344650268554688e-07,0.9483407458091002,wf1,0.5673880871286763,0.5517300647623464,0.5834311509525646,1322,1000,42
superseg,csm,13,8.344650268554688e-07,0.9483407458091002,wf1_1to1,0.5859731964119257,0.5709054097272706,0.6025891738325552,1322,1000,42
superseg,csm,13,8.344650268554688e-07,0.9483407458091002,exact_f1,0.31463347545041953,0.2990318873847618,0.33038249225560123,1322,1000,42
superseg,csm,13,8.344650268554688e-07,0.9483407458091002,coverage,0.8068386643613572,0.7975683938477056,0.815650184304685,1322,1000,42
superseg,csm,14,8.940696716308594e-07,0.9421826890181321,wf1,0.5655114211824188,0.5506168642559027,0.5822321854749326,1322,1000,42
superseg,csm,14,8.940696716308594e-07,0.9421826890181321,wf1_1to1,0.5840965304656682,0.569099166508395,0.6005430084287875,1322,1000,42
superseg,csm,14,8.940696716308594e-07,0.9421826890181321,exact_f1,0.3118532963086669,0.2962237446324058,0.3276245707561895,1322,1000,42
superseg,csm,14,8.940696716308594e-07,0.9421826890181321,coverage,0.8076476238503469,0.798483212964964,0.8165280156628965,1322,1000,42
superseg,csm,15,9.5367431640625e-07,0.9373930892918235,wf1,0.5626916195350831,0.5476781152336239,0.5793519335025076,1322,1000,42
superseg,csm,15,9.5367431640625e-07,0.9373930892918235,wf1_1to1,0.5813559738294989,0.566396112082572,0.5978896758813552,1322,1000,42
superseg,csm,15,9.5367431640625e-07,0.9373930892918235,exact_f1,0.3089506476042028,0.2936920084244214,0.32460409012318997,1322,1000,42
superseg,csm,15,9.5367431640625e-07,0.9373930892918235,coverage,0.8080951780611386,0.7987722726508657,0.817012228195615,1322,1000,42
superseg,csm,16,1.0728836059570312e-06,0.9271296613068765,wf1,0.5585816850923195,0.5435744122982711,0.5753596638077594,1322,1000,42
superseg,csm,16,1.0728836059570312e-06,0.9271296613068765,wf1_1to1,0.5767165386303056,0.5611377144035994,0.5936766615255648,1322,1000,42
superseg,csm,16,1.0728836059570312e-06,0.9271296613068765,exact_f1,0.30567098475570487,0.2906420278536391,0.32138807160649063,1322,1000,42
superseg,csm,16,1.0728836059570312e-06,0.9271296613068765,coverage,0.8098034483586677,0.8005807923900776,0.8192249920454818,1322,1000,42
superseg,csm,17,1.1324882507324219e-06,0.9223400615805679,wf1,0.5563304063660031,0.5413449330128604,0.5733267518945414,1322,1000,42
superseg,csm,17,1.1324882507324219e-06,0.9223400615805679,wf1_1to1,0.5733378195178498,0.5577579064908869,0.59059198397417,1322,1000,42
superseg,csm,17,1.1324882507324219e-06,0.9223400615805679,exact_f1,0.30293703187046606,0.28784280835150733,0.318727472204212,1322,1000,42
superseg,csm,17,1.1324882507324219e-06,0.9223400615805679,coverage,0.8103581634368321,0.8010276727181038,0.8195233990406551,1322,1000,42
superseg,csm,18,1.2516975402832031e-06,0.9134450906602806,wf1,0.5526491153927303,0.5374824982140659,0.5698781205853267,1322,1000,42
superseg,csm,18,1.2516975402832031e-06,0.9134450906602806,wf1_1to1,0.5689397213981178,0.5533744908016844,0.5859062870437682,1322,1000,42
superseg,csm,18,1.2516975402832031e-06,0.9134450906602806,exact_f1,0.29873884730163097,0.28394349945314395,0.31436557464639914,1322,1000,42
superseg,csm,18,1.2516975402832031e-06,0.9134450906602806,coverage,0.811381444660567,0.8022141326273325,0.8205518634584446,1322,1000,42
superseg,csm,19,1.430511474609375e-06,0.9042080054738283,wf1,0.5489137937300259,0.534250488314796,0.5660836293784923,1322,1000,42
superseg,csm,19,1.430511474609375e-06,0.9042080054738283,wf1_1to1,0.5652692365627312,0.5494718336378699,0.5825815658748715,1322,1000,42
superseg,csm,19,1.430511474609375e-06,0.9042080054738283,exact_f1,0.29579237370462785,0.28063226685484627,0.3113581759894165,1322,1000,42
superseg,csm,19,1.430511474609375e-06,0.9042080054738283,coverage,0.8126390089570876,0.8033202916756719,0.8217678916624642,1322,1000,42
superseg,csm,20,1.5497207641601562e-06,0.9001026342798495,wf1,0.5467921886583451,0.5318838758971245,0.5640888958618335,1322,1000,42
superseg,csm,20,1.5497207641601562e-06,0.9001026342798495,wf1_1to1,0.5629207025954379,0.5475714555867733,0.5806180292224166,1322,1000,42
superseg,csm,20,1.5497207641601562e-06,0.9001026342798495,exact_f1,0.29349426838080395,0.27812525378051095,0.3091075931128881,1322,1000,42
superseg,csm,20,1.5497207641601562e-06,0.9001026342798495,coverage,0.813159804769109,0.8038350307974927,0.8220373487140695,1322,1000,42
superseg,csm,21,1.6689300537109375e-06,0.8925761204242217,wf1,0.5435935718439945,0.5285455020269695,0.5602977298057168,1322,1000,42
superseg,csm,21,1.6689300537109375e-06,0.8925761204242217,wf1_1to1,0.5599742289984349,0.5449105955819269,0.5775396920905619,1322,1000,42
superseg,csm,21,1.6689300537109375e-06,0.8925761204242217,exact_f1,0.29043613135897556,0.27514761839270163,0.305686083331696,1322,1000,42
superseg,csm,21,1.6689300537109375e-06,0.8925761204242217,coverage,0.814584413947122,0.8055392788103644,0.8236076974221357,1322,1000,42
superseg,csm,22,1.8908749872715994e-06,0.8816284639069449,wf1,0.5418105590927518,0.5266594066338771,0.5591202680930255,1322,1000,42
superseg,csm,22,1.8908749872715994e-06,0.8816284639069449,wf1_1to1,0.5582668592123963,0.5433234768257461,0.5759395077313005,1322,1000,42
superseg,csm,22,1.8908749872715994e-06,0.8816284639069449,exact_f1,0.2902308147391354,0.2750035297321606,0.3063046787848225,1322,1000,42
superseg,csm,22,1.8908749872715994e-06,0.8816284639069449,coverage,0.8172936027663713,0.808318194234325,0.8263746863218309,1322,1000,42
superseg,csm,23,2.0265579223632812e-06,0.8775230927129661,wf1,0.5406759146146883,0.5251668279400882,0.5580257568116872,1322,1000,42
superseg,csm,23,2.0265579223632812e-06,0.8775230927129661,wf1_1to1,0.5569971380107538,0.5419262923158535,0.574544975637071,1322,1000,42
superseg,csm,23,2.0265579223632812e-06,0.8775230927129661,exact_f1,0.28842979175808225,0.2731774684384367,0.3041505325024614,1322,1000,42
superseg,csm,23,2.0265579223632812e-06,0.8775230927129661,coverage,0.8176424008837021,0.8086654419710396,0.826635969730807,1322,1000,42
superseg,csm,24,2.205371856689453e-06,0.8686281217926788,wf1,0.5364855344787711,0.5206351118932879,0.5539484388630068,1322,1000,42
superseg,csm,24,2.205371856689453e-06,0.8686281217926788,wf1_1to1,0.5527971524189376,0.5372394902122587,0.5703540852113091,1322,1000,42
superseg,csm,24,2.205371856689453e-06,0.8686281217926788,exact_f1,0.2852275728977696,0.2700993073156462,0.3011176493702969,1322,1000,42
superseg,csm,24,2.205371856689453e-06,0.8686281217926788,coverage,0.8193578752731551,0.8107215648488342,0.8283693838100041,1322,1000,42
superseg,csm,25,2.384185791015625e-06,0.8628121792678755,wf1,0.5324116204956287,0.5167007519094375,0.5492509034168841,1322,1000,42
superseg,csm,25,2.384185791015625e-06,0.8628121792678755,wf1_1to1,0.5490005959748774,0.533321491607233,0.5664180640967705,1322,1000,42
superseg,csm,25,2.384185791015625e-06,0.8628121792678755,exact_f1,0.28193530288840424,0.26690416019935687,0.2977190835303543,1322,1000,42
superseg,csm,25,2.384185791015625e-06,0.8628121792678755,coverage,0.8201037989578082,0.8113770629217395,0.8292900029716879,1322,1000,42
superseg,csm,26,2.562999725341797e-06,0.8556277796784126,wf1,0.5299658312873583,0.5141097971187741,0.546971816141301,1322,1000,42
superseg,csm,26,2.562999725341797e-06,0.8556277796784126,wf1_1to1,0.5462270205840554,0.530695403625623,0.5629564160625052,1322,1000,42
superseg,csm,26,2.562999725341797e-06,0.8556277796784126,exact_f1,0.2794390850366644,0.2638958719461745,0.295264137757519,1322,1000,42
superseg,csm,26,2.562999725341797e-06,0.8556277796784126,coverage,0.8214485627836611,0.8126685682467643,0.830517316835963,1322,1000,42
superseg,csm,27,2.8014183044433594e-06,0.8481012658227848,wf1,0.5254362584900095,0.5096676707289527,0.5425874668736975,1322,1000,42
